time,value
0.0,141648
0.01,141654
0.02,141669
0.03,141692
0.04,141723
0.05,141760
0.06,141802
0.07,141848
0.08,141898
0.09,141950
0.1,142004
0.11,142060
0.12,142116
0.13,142173
0.14,142231
0.15,142289
0.16,142347
0.17,142406
0.18,142465
0.19,142524
0.2,142583
0.21,142642
0.22,142701
0.23,142760
0.24,142820
0.25,142879
0.26,142938
0.27,142998
0.28,143057
0.29,143117
0.3,143176
0.31,143236
0.32,143295
0.33,143355
0.34,143414
0.35000000000000003,143474
0.36,143534
0.37,143593
0.38,143653
0.39,143713
0.4,143772
0.41000000000000003,143832
0.42,143892
0.43,143952
0.44,144012
0.45,144072
0.46,144131
0.47000000000000003,144191
0.48,144251
0.49,144311
0.5,144371
0.51,144431
0.52,144491
0.53,144552
0.54,144612
0.55,144672
0.56,144732
0.5700000000000001,144792
0.58,144852
0.59,144913
0.6,144973
0.61,145033
0.62,145094
0.63,145154
0.64,145214
0.65,145274
0.66,145334
0.67,145394
0.68,145454
0.6900000000000001,145514
0.7000000000000001,145574
0.71,145634
0.72,145694
0.73,145754
0.74,145814
0.75,145874
0.76,145934
0.77,145994
0.78,146054
0.79,146114
0.8,146174
0.81,146234
0.8200000000000001,146294
0.8300000000000001,146355
0.84,146415
0.85,146475
0.86,146535
0.87,146596
0.88,146656
0.89,146716
0.9,146777
0.91,146837
0.92,146897
0.93,146958
0.9400000000000001,147018
0.9500000000000001,147079
0.96,147139
0.97,147199
0.98,147259
0.99,147319
1.0,147379
1.01,147438
1.02,147498
1.03,147558
1.04,147618
1.05,147678
1.06,147738
1.07,147798
1.08,147858
1.09,147918
1.1,147978
1.11,148038
1.12,148098
1.1300000000000001,148158
1.1400000000000001,148218
1.1500000000000001,148278
1.16,148338
1.17,148398
1.18,148458
1.19,148518
1.2,148579
1.21,148639
1.22,148699
1.23,148759
1.24,148820
1.25,148880
1.26,148941
1.27,149001
1.28,149061
1.29,149122
1.3,149182
1.31,149243
1.32,149303
1.33,149364
1.34,149424
1.35,149485
1.36,149546
1.37,149606
1.3800000000000001,149667
1.3900000000000001,149728
1.4000000000000001,149788
1.41,149849
1.42,149910
1.43,149971
1.44,150031
1.45,150092
1.46,150152
1.47,150212
1.48,150272
1.49,150332
1.5,150392
1.51,150451
1.52,150511
1.53,150571
1.54,150631
1.55,150691
1.56,150751
1.57,150810
1.58,150870
1.59,150930
1.6,150990
1.61,151050
1.62,151110
1.6300000000000001,151170
1.6400000000000001,151230
1.6500000000000001,151290
1.6600000000000001,151350
1.67,151410
1.68,151470
1.69,151530
1.7,151591
1.71,151651
1.72,151711
1.73,151771
1.74,151832
1.75,151892
1.76,151952
1.77,152012
1.78,152073
1.79,152133
1.8,152194
1.81,152254
1.82,152314
1.83,152368
1.84,152421
1.85,152474
1.86,152527
1.87,152580
1.8800000000000001,152633
1.8900000000000001,152686
1.9000000000000001,152739
1.9100000000000001,152792
1.92,152845
1.93,152898
1.94,152951
1.95,153005
1.96,153058
1.97,153111
1.98,153164
1.99,153218
2.0,153271
2.0100000000000002,153325
2.02,153378
2.0300000000000002,153431
2.04,153485
2.05,153538
2.06,153592
2.07,153646
2.08,153699
2.09,153753
2.1,153807
2.11,153860
2.12,153914
2.13,153968
2.14,154022
2.15,154075
2.16,154129
2.17,154183
2.18,154237
2.19,154291
2.2,154344
2.21,154389
2.22,154435
2.23,154480
2.24,154525
2.25,154570
2.2600000000000002,154615
2.27,154661
2.2800000000000002,154706
2.29,154751
2.3000000000000003,154797
2.31,154842
2.32,154887
2.33,154933
2.34,154978
2.35,155024
2.36,155069
2.37,155115
2.38,155160
2.39,155206
2.4,155247
2.41,155283
2.42,155320
2.43,155357
2.44,155393
2.45,155430
2.46,155467
2.47,155503
2.48,155540
2.49,155577
2.5,155613
2.5100000000000002,155647
2.52,155675
2.5300000000000002,155703
2.54,155731
2.5500000000000003,155758
2.56,155786
2.57,155814
2.58,155841
2.59,155869
2.6,155897
2.61,155925
2.62,155952
2.63,155980
2.64,156008
2.65,156035
2.66,156060
2.67,156080
2.68,156098
2.69,156117
2.7,156136
2.71,156154
2.72,156173
2.73,156191
2.74,156210
2.75,156228
2.7600000000000002,156242
2.77,156253
2.7800000000000002,156263
2.79,156272
2.8000000000000003,156281
2.81,156291
2.82,156291
2.83,156291
2.84,156291
2.85,156291
2.86,156291
2.87,156291
2.88,156291
2.89,156291
2.9,156291
2.91,156291
2.92,156291
2.93,156291
2.94,156291
2.95,156291
2.96,156291
2.97,156291
2.98,156291
2.99,156291
3.0,156291
3.0100000000000002,156291
3.02,156291
3.0300000000000002,156291
3.04,156291
3.0500000000000003,156291
3.06,156291
3.0700000000000003,156291
3.08,156291
3.09,156291
3.1,156291
3.11,156291
3.12,156291
3.13,156291
3.14,156291
3.15,156291
3.16,156291
3.17,156291
3.18,156291
3.19,156291
3.2,156291
3.21,156291
3.22,156291
3.23,156291
3.24,156291
3.25,156291
3.2600000000000002,156291
3.27,156291
3.2800000000000002,156291
3.29,156291
3.3000000000000003,156291
3.31,156291
3.3200000000000003,156291
3.33,156291
3.34,156291
3.35,156291
3.36,156291
3.37,156291
3.38,156291
3.39,156291
3.4,156291
3.41,156291
3.42,156291
3.43,156291
3.44,156291
3.45,156291
3.46,156291
3.47,156291
3.48,156291
3.49,156291
3.5,156291
3.5100000000000002,156291
3.52,156291
3.5300000000000002,156291
3.54,156291
3.5500000000000003,156291
3.56,156291
3.5700000000000003,156291
3.58,156291
3.59,156291
3.6,156291
