features,depth,MAE,MSE,MAPE
p_{acc},1,9650.174387200368,134552927.61913398,0.30378507672252336
p_{acc},2,9208.383356674036,125394007.27916606,0.2873146003391681
p_{acc},3,8533.091973117054,111332825.87060116,0.2640869624099073
p_{acc},4,7882.682592641428,99818164.18470891,0.24187159241285935
p_{acc},5,7175.940279384867,86491803.1175603,0.21625394726364347
p_{acc},7,5953.568717377391,66754901.49892738,0.17566544379097115
p_{acc},9,4535.520270267241,45339800.2549855,0.129613107575034
p_{acc},11,3348.3867684469715,29071327.85212534,0.09112788545555876
p_{acc},15,1768.1947507582968,12622806.117178071,0.04482479343389436
p_{acc},20,940.4403375466117,7225209.739885399,0.023796273935338487
p_{acc},25,815.6027585100442,6944324.7455383325,0.0208842932661779
p_{acc},30,821.9252563928796,7231553.862948271,0.021116780901891407
p_{acc},40,812.5325743200506,7058073.286053131,0.02072237730951104
"p_{acc}, T, n_{valves}",1,9469.09697368957,129420542.4004065,0.29538639970714714
"p_{acc}, T, n_{valves}",2,9056.858073609712,120630517.41581102,0.28142144874127617
"p_{acc}, T, n_{valves}",3,8733.813510042077,114305297.4359202,0.26905178482057024
"p_{acc}, T, n_{valves}",4,8377.781677669538,108766688.55813268,0.2582229942223549
"p_{acc}, T, n_{valves}",5,8037.986722809588,103641251.94290912,0.24701227148479135
"p_{acc}, T, n_{valves}",7,7023.085158168162,87286862.02455667,0.21336640488318703
"p_{acc}, T, n_{valves}",9,5700.354741431713,64953066.74737761,0.1674127355556033
"p_{acc}, T, n_{valves}",11,4428.375282173707,46632397.13031778,0.12637225113543135
"p_{acc}, T, n_{valves}",15,2379.1785577660416,19300642.435221758,0.06135752828476318
"p_{acc}, T, n_{valves}",20,1157.603564821705,8416787.359965675,0.028579912788193208
"p_{acc}, T, n_{valves}",25,835.5803752122316,6817180.985437099,0.020881654783560057
"p_{acc}, T, n_{valves}",30,801.8333437231386,6533118.487849723,0.019822142085459547
"p_{acc}, T, n_{valves}",40,812.9293168880455,6997973.083175206,0.02035051900840749
p',1,7124.972145586476,74340503.26054949,0.19824268205379403
p',2,5397.556642026472,46663648.46725231,0.14296207298727437
p',3,3820.1157973034183,26094944.29499152,0.09775426920745359
p',4,2915.681295166387,16965532.289793108,0.07442188137920784
p',5,2196.904400068374,10474867.10085144,0.05580959361914418
p',7,1546.940953419113,5681366.624631403,0.03880079020985816
p',9,1027.2450556714873,2872325.8048406043,0.025786709110644908
p',11,751.9358804664658,1800502.8772120127,0.01895002941337811
p',15,464.7205817102104,1192849.266565508,0.011862883251859519
p',20,342.16506759222847,1068795.020438603,0.00877545785281377
p',25,318.65188419552123,1048456.3011867005,0.008188095682052017
p',30,323.2763038010903,1100757.6306054234,0.008308956710432415
p',40,317.07060404807083,1061625.002609108,0.008124560693247405
"p', p_0",1,7124.972145586476,74340503.26054949,0.19824268205379403
"p', p_0",2,5397.556642026472,46663648.46725231,0.14296207298727437
"p', p_0",3,3820.1157973034183,26094944.29499152,0.09775426920745359
"p', p_0",4,2915.681295166387,16965532.289793108,0.07442188137920784
"p', p_0",5,2196.904400068374,10474867.10085144,0.05580959361914418
"p', p_0",7,1533.6823568984028,5635068.522604803,0.038647858959511644
"p', p_0",9,1005.3368636124327,2837446.9445560547,0.02534040421876037
"p', p_0",11,730.6657970674577,1809955.6809025647,0.018524273334232844
"p', p_0",15,458.1120529106023,1221163.7116493413,0.011685599676544199
"p', p_0",20,339.34801219680566,1161298.6965272757,0.008722239235606532
"p', p_0",25,315.2391646473892,1060944.1979310617,0.008093404386056947
"p', p_0",30,314.02501242432453,1108302.9857911356,0.008057259379289316
"p', p_0",40,313.19607843137254,1057701.3317520556,0.008065413836760599
"p', T, n_{valves}",1,7124.972145586476,74340503.26054949,0.19824268205379403
"p', T, n_{valves}",2,5397.556642026472,46663648.46725231,0.14296207298727437
"p', T, n_{valves}",3,3820.1157973034183,26094944.29499152,0.09775426920745359
"p', T, n_{valves}",4,2915.681295166387,16965532.289793108,0.07442188137920784
"p', T, n_{valves}",5,2196.904400068374,10474867.10085144,0.05580959361914418
"p', T, n_{valves}",7,1528.3309339706093,5600231.55461029,0.03842577981414203
"p', T, n_{valves}",9,1002.2098882300076,2796208.6026407476,0.0252363605245598
"p', T, n_{valves}",11,706.7739482370528,1622601.8256350195,0.017916822210079675
"p', T, n_{valves}",15,430.501354277727,1060262.6349632698,0.010999511979260775
"p', T, n_{valves}",20,314.72379834775563,969442.5526937147,0.00805841101891442
"p', T, n_{valves}",25,298.74224187923784,907081.3124585951,0.007673384417460629
"p', T, n_{valves}",30,296.71847327640734,866147.1981192678,0.007612005843616121
"p', T, n_{valves}",40,299.2376660341556,908610.6899114484,0.007644521126734385
