depth,MAE,MSE,MAPE
1,9650.174387200368,134552927.61913398,0.30378507672252336
2,9208.383356674036,125394007.27916606,0.2873146003391681
3,8533.091973117054,111332825.87060116,0.2640869624099073
4,7882.682592641428,99818164.18470891,0.24187159241285935
5,7175.940279384867,86491803.1175603,0.21625394726364347
7,5953.568717377391,66754901.49892738,0.17566544379097115
9,4535.520270267241,45339800.2549855,0.129613107575034
11,3348.3867684469715,29071327.85212534,0.09112788545555876
15,1768.1947507582968,12622806.117178071,0.04482479343389436
20,940.4403375466117,7225209.739885399,0.023796273935338487
25,815.6027585100442,6944324.7455383325,0.0208842932661779
30,821.9252563928796,7231553.862948271,0.021116780901891407
40,812.5325743200506,7058073.286053131,0.02072237730951104
