depth,MAE,MSE,MAPE
1,9469.09697368957,129420542.4004065,0.29538639970714714
2,9056.858073609712,120630517.41581102,0.28142144874127617
3,8733.813510042077,114305297.4359202,0.26905178482057024
4,8377.781677669538,108766688.55813268,0.2582229942223549
5,8037.986722809588,103641251.94290912,0.24701227148479135
7,7023.085158168162,87286862.02455667,0.21336640488318703
9,5700.354741431713,64953066.74737761,0.1674127355556033
11,4428.375282173707,46632397.13031778,0.12637225113543135
15,2379.1785577660416,19300642.435221758,0.06135752828476318
20,1157.603564821705,8416787.359965675,0.028579912788193208
25,835.5803752122316,6817180.985437099,0.020881654783560057
30,801.8333437231386,6533118.487849723,0.019822142085459547
40,812.9293168880455,6997973.083175206,0.02035051900840749
