depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1546.940953419113,5681366.624631403,0.03880079020985816
9,1027.2450556714873,2872325.8048406043,0.025786709110644908
11,751.9358804664658,1800502.8772120127,0.01895002941337811
15,464.7205817102104,1192849.266565508,0.011862883251859519
20,342.16506759222847,1068795.020438603,0.00877545785281377
25,318.65188419552123,1048456.3011867005,0.008188095682052017
30,323.2763038010903,1100757.6306054234,0.008308956710432415
40,317.07060404807083,1061625.002609108,0.008124560693247405
