depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1528.3309339706093,5600231.55461029,0.03842577981414203
9,1002.2098882300076,2796208.6026407476,0.0252363605245598
11,706.7739482370528,1622601.8256350195,0.017916822210079675
15,430.501354277727,1060262.6349632698,0.010999511979260775
20,314.72379834775563,969442.5526937147,0.00805841101891442
25,298.74224187923784,907081.3124585951,0.007673384417460629
30,296.71847327640734,866147.1981192678,0.007612005843616121
40,299.2376660341556,908610.6899114484,0.007644521126734385
