depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1533.6823568984028,5635068.522604803,0.038647858959511644
9,1005.3368636124327,2837446.9445560547,0.02534040421876037
11,730.6657970674577,1809955.6809025647,0.018524273334232844
15,458.1120529106023,1221163.7116493413,0.011685599676544199
20,339.34801219680566,1161298.6965272757,0.008722239235606532
25,315.2391646473892,1060944.1979310617,0.008093404386056947
30,314.02501242432453,1108302.9857911356,0.008057259379289316
40,313.19607843137254,1057701.3317520556,0.008065413836760599
