features,depth,MAE,MSE,MAPE
^p_accumulator_[0-9]*$,4,7882.682592641428,99818164.18470891,0.24187159241285935
^p_accumulator_[0-9]*$,9,4537.765995834118,45402931.52541954,0.1297204165026395
^p_accumulator_[0-9]*$,16,1507.89065425193,10888268.923744513,0.038100207400132806
^p_accumulator_[0-9]*$,25,819.7501829871413,7104101.823356119,0.02106954744584793
^p_accumulator_[0-9]*$,36,824.4006166982922,7227810.039611006,0.021097474471315308
^p_accumulator_[0-9]*$,49,826.9495572422518,7165267.849778621,0.021120706770503275
^p_accumulator_[0-9]*$,64,821.116935483871,7177553.169750158,0.02096091384193509
^p_accumulator_[0-9]*$,81,820.0544750158127,7230909.624525617,0.021131064670171656
"^p_accumulator_[0-9]*$, T, active_valve_count",4,8377.781677669538,108766688.55813268,0.2582229942223549
"^p_accumulator_[0-9]*$, T, active_valve_count",9,5701.796992935384,64970397.94521291,0.16743154941394192
"^p_accumulator_[0-9]*$, T, active_valve_count",16,2056.507235843634,16163122.789997974,0.05205587035237915
"^p_accumulator_[0-9]*$, T, active_valve_count",25,820.3818818830529,6351948.690593552,0.02026656421092622
"^p_accumulator_[0-9]*$, T, active_valve_count",36,808.8001265022137,6658033.318785579,0.02021740495045372
"^p_accumulator_[0-9]*$, T, active_valve_count",49,812.3407653383935,6798950.685009488,0.020248609854138296
"^p_accumulator_[0-9]*$, T, active_valve_count",64,817.5777988614801,6827249.7938013915,0.02044083301401458
"^p_accumulator_[0-9]*$, T, active_valve_count",81,797.9936748893106,6443693.823055029,0.019880417343755757
^p_accumulator_derivative_[0-9]*$,4,2915.681295166387,16965532.289793108,0.07442188137920784
^p_accumulator_derivative_[0-9]*$,9,1024.9800433579692,2811433.3594257613,0.025740107728859565
^p_accumulator_derivative_[0-9]*$,16,426.09013094357374,1098916.0073022489,0.010881270117181758
^p_accumulator_derivative_[0-9]*$,25,316.14455622366523,1036413.4149769914,0.008112845704664999
^p_accumulator_derivative_[0-9]*$,36,315.044908285895,1025178.5641998735,0.008092640192302714
^p_accumulator_derivative_[0-9]*$,49,318.0732131562302,1053047.5858633777,0.00816329816713955
^p_accumulator_derivative_[0-9]*$,64,316.2004269449715,987441.6091872233,0.008100653357046034
^p_accumulator_derivative_[0-9]*$,81,314.994623655914,1007153.6045224541,0.008066346138198574
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",4,2915.681295166387,16965532.289793108,0.07442188137920784
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",9,1004.3038048323111,2812671.231943331,0.02532825716389538
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",16,420.127039916156,1193413.298038115,0.010807462438608946
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",25,315.7223759385227,1099323.176447008,0.008099809353724313
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",36,312.7012966476913,1094505.9454459203,0.00806446996328059
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",49,310.9871125869703,1031778.8098513599,0.00803000785004842
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",64,316.9475806451613,1116402.872944339,0.008175897976667214
"p_accumulator_0, ^p_accumulator_derivative_[0-9]*$",81,310.05605629348514,1037968.4044117647,0.007978098125047245
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",4,2915.681295166387,16965532.289793108,0.07442188137920784
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",9,999.641792868414,2710509.3404315608,0.025163109397762395
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",16,393.21965639720037,1019746.9761514787,0.010063007749668514
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",25,299.47238630259864,957396.4419861885,0.007703659737469322
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",36,298.8563409234662,972371.2922991777,0.007678990553395372
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",49,296.6816888045541,933476.7942757749,0.007581422461387111
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",64,299.28130929791274,937553.2716635041,0.007689719357367667
"^p_accumulator_derivative_[0-9]*$, T, active_valve_count",81,296.34614168247947,895736.5343137255,0.007572763709604262
