depth,MAE,MSE,MAPE
1,9650.174387200368,134552927.61913398,0.30378507672252336
2,9208.383356674036,125394007.27916606,0.2873146003391681
3,8533.091973117054,111332825.87060116,0.2640869624099073
4,7882.682592641428,99818164.18470891,0.24187159241285935
5,7175.940279384867,86491803.1175603,0.21625394726364347
7,5953.299661262659,66753695.045459874,0.1756432371126341
9,4538.052485532262,45410835.56129605,0.12969798392440587
11,3343.326187946088,28931500.945963528,0.090864486202912
15,1778.8318169433417,12650930.097727522,0.04506470696047819
20,956.6191467247746,7599768.023586201,0.024387970775792488
25,815.8044286308082,6920238.656999446,0.020596902983905097
30,815.2133407126291,7218250.555125097,0.020907109787021934
40,819.1849304237824,7198035.005613536,0.02100774591033915
