depth,MAE,MSE,MAPE
1,9469.09697368957,129420542.4004065,0.29538639970714714
2,9056.858073609712,120630517.41581102,0.28142144874127617
3,8733.813510042077,114305297.4359202,0.26905178482057024
4,8377.781677669538,108766688.55813268,0.2582229942223549
5,8037.986722809588,103641251.94290912,0.24701227148479135
7,7022.4622716492195,87283865.67533801,0.2133538984391729
9,5701.319732188035,64967076.980009615,0.16741659413143214
11,4428.919350362022,46625966.954497054,0.1263860496054161
15,2386.9798843500303,19500974.88403824,0.06158603625753967
20,1164.7624634075573,8482797.271043345,0.028804700388040696
25,827.8279382267373,6713445.146645271,0.020691908442518905
30,806.3915377824001,6635482.983346005,0.02007858487218915
40,815.2906388361796,6879307.929000633,0.020259737380810584
