depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1547.7804418639143,5697854.9844029285,0.038815752486308544
9,1027.9072978022662,2887159.2226127996,0.025798626969161555
11,752.253897044766,1814058.6093319985,0.018971446940518954
15,460.24564836803273,1109059.6330753288,0.011722168857970372
20,335.6935906709749,976517.7113046938,0.008614780856856765
25,318.97411171356543,1045786.579198313,0.008194579687093854
30,314.23653466763045,1032737.2378951132,0.008077728587683483
40,315.3055028462998,1009127.3451929159,0.008105329385538484
