depth,MAE,MSE,MAPE
1,7124.972145586476,74340503.26054949,0.19824268205379403
2,5397.556642026472,46663648.46725231,0.14296207298727437
3,3820.1157973034183,26094944.29499152,0.09775426920745359
4,2915.681295166387,16965532.289793108,0.07442188137920784
5,2196.904400068374,10474867.10085144,0.05580959361914418
7,1529.1704224154107,5616719.914381812,0.038440742090592415
9,999.7923739796839,2720584.1751978197,0.02516630693538044
11,708.0831770504365,1674084.5595366193,0.017928147064288937
15,428.78585111965094,1047662.8647168784,0.010933615712394405
20,311.31263588016253,959976.4608034889,0.008007014246239872
25,299.7320772757621,969520.9449467813,0.007695116760915463
30,293.61173703352307,859113.1263292616,0.007552555323923248
40,294.3883617963314,867751.7416192284,0.007569929560568683
