IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,WIND
0,0.2,0.0,9.5,0.0,3.7,-1.0,13.67
0,5.1,0.0,7.2,0.0,4.2,1.1,11.5
0,0.4,0.0,5.5,0.0,0.5,-0.5,11.25
0,0.2,0.0,5.6,0.0,0.4,-3.2,8.63
0,10.4,0.0,7.2,1.0,-1.5,-7.5,11.92
0,0.0,0.0,6.5,0.0,1.2,-2.0,10.67
0,1.9,0.0,9.2,1.0,-2.4,-7.1,9.17
0,0.0,0.0,6.6,0.0,3.1,0.0,14.29
0,8.3,0.0,6.8,0.0,2.4,-0.8,8.04
0,0.0,0.0,6.5,0.0,3.0,0.5,11.42
0,0.5,0.0,10.0,1.0,-3.1,-7.7,7.54
0,0.0,0.0,13.1,0.0,5.5,3.3,4.63
0,0.0,0.0,5.6,1.0,-3.2,-6.1,3.08
0,0.0,0.0,4.4,1.0,-5.0,-8.3,2.5
0,0.0,0.0,4.6,1.0,-4.2,-8.3,9.25
0,2.0,0.0,9.3,0.0,3.2,-2.7,13.42
0,8.4,0.0,10.1,0.0,4.3,5.1,17.83
0,0.9,0.0,6.6,0.0,1.6,-2.0,3.71
0,21.5,0.0,9.3,1.0,-0.6,-5.4,3.17
0,0.2,0.0,10.1,0.0,1.6,0.4,8.04
0,0.3,0.0,6.5,0.0,5.5,1.3,9.38
0,0.0,0.0,6.5,0.0,5.5,2.2,13.7
0,9.5,0.0,5.3,0.0,3.4,0.5,20.38
0,0.0,0.0,4.3,0.0,2.2,1.1,9.25
0,0.7,0.0,13.0,0.0,2.2,-1.6,14.33
0,1.5,0.0,12.3,0.0,3.7,2.7,16.79
0,2.8,0.0,12.0,0.0,4.8,-2.2,12.25
0,6.2,0.0,12.6,0.0,4.4,1.2,22.0
0,1.4,0.0,7.8,0.0,3.7,0.8,14.5
0,4.7,0.0,7.2,0.0,2.1,-0.5,14.88
0,2.1,0.0,8.7,0.0,1.0,-2.2,10.17
0,0.1,0.0,8.1,0.0,1.0,1.0,10.88
0,4.0,0.0,8.1,1.0,-0.6,-5.0,8.5
0,5.7,0.0,11.3,0.0,0.0,-1.1,12.54
0,8.6,0.0,13.5,0.0,4.7,2.1,13.96
0,0.5,0.0,7.8,0.0,2.1,1.5,19.17
0,0.3,0.0,11.6,0.0,3.2,0.7,14.21
0,4.4,0.0,14.6,0.0,4.4,2.4,16.5
0,0.3,0.0,11.7,0.0,6.4,3.2,14.37
0,0.8,0.0,10.7,0.0,7.3,3.1,11.08
0,3.5,0.0,11.3,0.0,7.3,3.8,17.5
0,0.0,0.0,15.5,0.0,7.1,4.3,11.71
0,0.0,0.0,12.7,0.0,8.8,6.0,16.08
0,0.0,0.0,13.3,0.0,10.0,7.7,15.46
0,0.0,0.0,13.8,0.0,2.5,-3.3,5.17
0,0.0,0.0,12.1,0.0,2.5,-2.6,3.42
0,0.0,0.0,11.7,0.0,4.4,-0.4,6.17
0,0.0,0.0,13.3,0.0,6.0,4.3,10.88
0,0.0,0.0,14.5,0.0,8.2,-0.4,9.62
0,0.0,0.0,13.1,0.0,5.3,-1.5,7.25
0,0.0,0.0,8.6,0.0,4.7,-2.1,3.75
0,0.0,0.0,7.5,0.0,5.1,2.5,8.25
0,4.6,0.0,8.8,0.0,5.1,2.2,16.38
0,0.7,0.0,11.0,0.0,6.1,4.4,8.17
0,3.2,0.0,9.8,0.0,2.7,-1.3,13.08
0,2.1,0.0,14.5,0.0,5.2,1.0,21.17
0,3.1,0.0,10.1,0.0,4.8,1.1,12.75
0,1.0,0.0,10.6,0.0,3.8,0.7,14.75
0,0.7,0.0,12.7,0.0,8.1,5.0,10.25
0,0.0,0.0,12.2,0.0,7.2,4.3,10.88
0,0.0,0.0,12.2,0.0,3.0,-1.6,11.29
0,0.0,0.0,11.8,0.0,2.8,0.5,6.21
0,0.0,0.0,17.2,0.0,0.0,-3.2,5.5
0,0.0,0.0,14.4,0.0,4.3,1.3,2.83
0,0.0,0.0,14.7,0.0,6.0,2.3,3.63
0,0.0,0.0,15.1,0.0,4.4,0.8,1.71
0,0.0,0.0,14.2,0.0,6.1,1.6,3.75
0,0.0,0.0,11.8,0.0,6.7,3.8,8.79
0,0.0,0.0,14.6,0.0,5.7,2.4,10.34
0,0.0,0.0,15.5,0.0,10.5,9.0,13.96
0,0.0,0.0,15.5,0.0,9.5,5.0,8.12
0,0.0,0.0,16.2,0.0,7.1,0.5,11.54
0,0.0,0.0,18.8,0.0,2.2,-1.2,2.75
0,0.0,0.0,9.7,0.0,2.1,-1.5,13.0
0,0.5,0.0,10.2,0.0,2.8,0.4,13.17
0,0.0,2.0,9.6,0.0,3.3,-1.6,7.75
0,0.0,0.0,11.8,0.0,2.3,-2.2,15.41
0,0.0,0.0,10.3,0.0,1.7,-1.7,8.17
0,0.0,0.0,12.7,0.0,3.1,-1.8,8.0
0,0.0,0.0,9.4,0.0,5.5,5.0,10.88
0,0.0,0.0,14.5,0.0,6.1,5.2,8.46
0,0.0,0.0,12.2,0.0,3.2,-1.6,10.75
0,0.3,0.0,11.8,0.0,8.4,5.5,13.75
0,0.0,0.0,11.7,1.0,-0.8,-5.0,6.75
0,1.1,0.0,13.3,0.0,0.4,-2.6,10.88
0,1.8,0.0,14.7,2.0,7.5,5.5,16.62
0,1.8,0.0,13.8,0.0,9.5,8.6,14.79
0,1.1,0.0,14.5,0.0,7.1,2.7,11.92
0,2.5,0.0,13.7,0.0,8.8,7.7,11.67
0,0.0,0.0,10.3,0.0,5.2,5.0,5.25
0,2.6,0.0,6.6,0.0,3.4,3.2,5.5
0,9.6,0.0,10.8,0.0,3.8,1.6,6.0
0,4.2,0.0,14.3,0.0,4.7,4.2,9.25
0,0.0,0.0,11.8,0.0,8.0,6.3,5.0
0,0.0,0.0,10.2,0.0,1.1,-0.5,5.33
0,8.1,0.0,12.1,0.0,3.8,-0.8,8.71
0,1.9,0.0,12.0,0.0,8.8,8.3,9.96
0,1.9,0.0,14.4,0.0,9.4,9.0,5.21
0,5.8,0.0,16.1,0.0,3.7,-0.2,5.66
0,7.8,0.0,13.7,0.0,10.4,9.3,6.54
0,0.1,0.0,15.0,0.0,9.0,3.1,8.0
0,0.5,0.0,14.6,0.0,7.0,3.3,4.29
0,0.0,0.0,12.7,0.0,3.4,0.0,2.46
0,0.0,0.0,12.2,0.0,2.3,-1.2,2.88
0,0.0,0.0,15.5,0.0,3.8,-0.8,4.46
0,0.2,0.0,10.7,0.0,6.7,3.6,5.66
0,3.7,0.0,11.6,0.0,7.6,-1.1,12.96
0,3.6,0.0,16.4,0.0,8.4,1.6,9.5
0,11.0,0.0,12.6,0.0,9.3,3.8,7.46
0,1.8,0.0,12.8,0.0,6.7,1.3,10.71
0,2.8,0.0,13.8,0.0,2.4,-2.2,5.25
0,17.2,0.0,12.8,0.0,7.7,1.1,13.75
0,0.0,0.0,16.2,0.0,6.7,-0.1,6.0
0,0.0,0.0,16.8,0.0,7.2,1.6,6.25
0,0.0,0.0,15.5,0.0,2.7,-2.6,2.67
0,4.0,0.0,15.7,0.0,7.1,3.8,4.04
0,0.4,0.0,15.5,0.0,7.4,6.6,9.5
0,2.0,0.0,16.7,0.0,10.5,7.8,5.96
0,0.7,0.0,16.1,0.0,6.2,3.0,9.13
0,0.8,0.0,15.5,0.0,9.2,6.2,16.83
0,2.3,0.0,13.3,0.0,6.8,4.6,18.21
0,0.0,0.0,15.0,0.0,7.2,5.5,18.58
0,0.0,0.0,16.7,0.0,5.4,2.7,7.25
0,0.0,0.0,17.1,0.0,2.1,-1.0,3.33
0,0.0,0.0,19.7,0.0,2.2,0.3,3.67
0,0.0,0.0,19.8,0.0,6.5,1.4,5.17
0,0.2,0.0,22.1,0.0,5.1,0.1,5.21
0,1.4,0.0,15.7,0.0,10.2,6.6,10.04
0,0.0,0.0,14.7,0.0,9.0,8.5,5.91
0,0.0,0.0,13.1,0.0,8.8,4.6,8.38
0,0.0,0.0,13.4,0.0,3.0,-0.4,5.83
0,0.0,0.0,12.7,0.0,4.3,-1.2,5.04
0,0.0,0.0,14.6,0.0,5.0,0.5,6.83
0,0.0,0.0,14.7,0.0,9.0,7.2,4.71
0,0.0,0.0,15.2,0.0,3.4,-0.7,3.17
0,0.0,0.0,14.4,0.0,6.2,1.1,2.42
0,0.0,0.0,14.5,0.0,9.4,8.7,3.13
0,0.2,0.0,14.6,0.0,10.4,10.0,4.0
0,1.6,0.0,12.7,0.0,8.1,8.4,6.79
0,0.0,0.0,10.6,0.0,4.6,2.2,9.33
0,0.0,0.0,12.5,0.0,3.2,-1.2,4.92
0,0.0,0.0,14.0,0.0,1.0,-2.8,5.41
0,1.8,0.0,13.3,0.0,9.2,7.5,11.71
0,0.0,0.0,14.2,0.0,10.0,8.1,5.83
0,0.0,0.0,17.0,0.0,7.8,3.3,6.58
0,0.0,0.0,17.0,0.0,5.0,3.2,9.75
0,0.0,0.0,17.8,0.0,10.5,10.1,7.92
0,0.0,0.0,18.7,0.0,11.7,10.8,10.41
0,0.0,0.0,20.8,0.0,11.3,10.5,6.21
0,9.4,2.0,17.0,0.0,12.7,11.7,3.42
0,0.3,0.0,16.7,0.0,11.5,10.6,4.21
0,4.8,0.0,17.7,0.0,8.8,6.6,8.17
0,0.7,0.0,15.5,0.0,7.6,6.1,9.54
0,1.8,0.0,17.2,0.0,6.1,4.4,8.29
0,1.6,0.0,15.7,0.0,10.4,9.6,9.71
0,3.6,0.0,16.6,0.0,9.0,8.4,6.25
0,1.0,0.0,13.6,0.0,10.5,9.0,9.17
0,0.2,0.0,18.0,0.0,6.2,3.2,4.67
0,1.2,0.0,18.8,0.0,6.4,2.2,5.66
0,0.1,0.0,18.8,0.0,13.1,10.4,8.25
0,0.2,0.0,19.6,0.0,7.7,4.7,10.54
0,0.8,0.0,20.0,0.0,15.0,14.4,12.96
0,0.0,0.0,17.6,0.0,9.5,7.2,13.7
0,0.0,0.0,17.3,0.0,8.7,6.4,10.37
0,0.0,0.0,16.6,0.0,8.7,8.7,7.92
0,1.6,0.0,19.4,0.0,7.2,2.1,10.54
0,0.0,0.0,18.5,0.0,11.6,11.5,13.29
0,0.0,0.0,22.4,0.0,11.6,9.4,14.21
0,0.0,0.0,23.0,0.0,11.5,6.7,14.88
0,2.8,0.0,21.6,0.0,12.1,11.4,11.87
0,0.0,0.0,15.2,0.0,11.6,11.5,8.38
0,0.0,0.0,16.7,0.0,6.1,3.5,10.54
0,0.0,0.0,19.5,0.0,8.1,2.4,8.79
0,0.0,0.0,22.2,0.0,11.1,8.5,8.33
0,0.0,0.0,23.4,0.0,11.6,9.0,4.92
0,0.0,0.0,19.4,0.0,15.5,14.4,6.71
0,0.0,0.0,20.1,0.0,12.1,11.5,5.83
0,0.6,0.0,18.3,0.0,9.5,7.2,15.75
0,0.0,0.0,18.2,0.0,10.6,9.8,14.92
0,0.0,0.0,20.0,0.0,7.1,4.5,10.08
0,0.1,0.0,20.2,0.0,8.0,4.4,7.08
0,0.2,0.0,21.2,0.0,13.6,12.2,14.54
0,0.0,0.0,18.3,0.0,14.4,13.7,14.04
0,6.4,0.0,18.4,0.0,12.3,11.2,9.46
0,6.6,0.0,17.3,0.0,12.2,11.7,2.67
0,5.4,0.0,17.4,0.0,12.8,12.8,7.41
0,0.4,0.0,19.0,0.0,13.3,10.1,9.08
0,21.4,0.0,13.8,0.0,9.0,8.4,16.83
0,0.1,0.0,17.4,0.0,8.3,8.6,11.83
0,2.6,0.0,18.8,0.0,7.6,5.8,10.25
0,0.1,0.0,15.6,0.0,11.0,10.1,13.13
0,0.0,0.0,19.7,0.0,10.5,8.8,7.08
0,0.0,0.0,19.3,0.0,10.5,6.8,4.96
0,0.0,0.0,18.7,0.0,7.6,3.4,3.5
0,0.0,0.0,18.3,0.0,12.1,11.2,3.04
0,0.0,0.0,16.0,0.0,11.7,7.7,2.21
0,0.0,0.0,17.1,0.0,8.1,8.8,4.75
