# x-Amplitude, x-Frequency, y-Amplitude, y-Frequency, z-Amplitude, z-Frequency, Growth-rate, Estimated-Failure-Time
2.809123051772563495e-01,2.887905815638730500e-01,2.212455649272997149e-02,2.887905815638730500e-01,3.701387847821410032e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.710175501439476648e+03
2.807825179743211885e-01,2.887905815638730500e-01,2.207833327042600657e-02,2.887905815638730500e-01,3.683326757158534442e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.741970134375391353e+03
2.817299416107560406e-01,2.887905815638730500e-01,2.275314483758233974e-02,2.887905815638730500e-01,3.746411616467149736e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.489904787084626150e+03
2.815500751198621310e-01,2.887905815638730500e-01,2.373409362078105628e-02,2.887905815638730500e-01,3.689375014822971616e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.293368098098402697e+03
2.808107490820107577e-01,2.887905815638730500e-01,2.234314212459832111e-02,2.887905815638730500e-01,3.719415007766679188e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.629937510375379134e+03
2.817364470564644452e-01,2.887905815638730500e-01,2.173700991396930807e-02,2.887905815638730500e-01,3.740504778769838945e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.783438594312578061e+03
2.812709042897967304e-01,2.887905815638730500e-01,2.175275614721040168e-02,2.887905815638730500e-01,3.716904088081908475e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.802541581256431527e+03
2.814503409129219258e-01,2.887905815638730500e-01,2.196651997927755520e-02,2.887905815638730500e-01,3.718728815065707599e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.738062756582174188e+03
2.802513443321905107e-01,2.887905815638730500e-01,2.265709601868694939e-02,2.887905815638730500e-01,3.782792619216655133e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.480049079942378739e+03
2.820326023707188656e-01,2.887905815638730500e-01,2.347042394163343856e-02,2.887905815638730500e-01,3.694802836417662023e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.354060144528913952e+03
2.830535751408203016e-01,2.887905815638730500e-01,2.372607004963106156e-02,2.887905815638730500e-01,3.719257990513699652e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.264873917359438565e+03
2.809383220566393780e-01,2.887905815638730500e-01,2.139196110692051511e-02,2.887905815638730500e-01,3.706946991797968605e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.921207312718783214e+03
2.817164929499158532e-01,2.887905815638730500e-01,2.219372884397752613e-02,2.887905815638730500e-01,3.733455236105021058e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.657965800512109126e+03
2.821398291627752464e-01,2.887905815638730500e-01,2.369783112438773529e-02,2.887905815638730500e-01,3.746808775478139425e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.244226713321953866e+03
2.803329420528383187e-01,2.887905815638730500e-01,2.327938143508112914e-02,2.887905815638730500e-01,3.705502934825447015e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.392070094236045406e+03
2.818473402393572025e-01,2.887905815638730500e-01,2.273013858294753095e-02,2.887905815638730500e-01,3.708640721342524454e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.534191323857554380e+03
2.809738293862971137e-01,2.887905815638730500e-01,2.288720166381202556e-02,2.887905815638730500e-01,3.706795921007791789e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.493802473606596322e+03
2.809458965708522271e-01,2.887905815638730500e-01,2.335599280698638994e-02,2.887905815638730500e-01,3.787286099570509601e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.290757333724768614e+03
2.812435044583251886e-01,2.887905815638730500e-01,2.196280492104776827e-02,2.887905815638730500e-01,3.689888887215982821e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.768565680884268659e+03
2.822461705674675914e-01,2.887905815638730500e-01,2.352183666298190978e-02,2.887905815638730500e-01,3.727152264128740650e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.308135130387834579e+03
2.814156356707991913e-01,2.887905815638730500e-01,2.281659045519290538e-02,2.887905815638730500e-01,3.763445230104990602e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.455881770764497560e+03
2.807205585631376565e-01,2.887905815638730500e-01,2.316732181327828960e-02,2.887905815638730500e-01,3.731764194050850997e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.394571380601446435e+03
2.799720757504219337e-01,2.887905815638730500e-01,2.100041904343815866e-02,2.887905815638730500e-01,3.643971459822373943e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.010849567321446011e+04
2.816441641504399684e-01,2.887905815638730500e-01,2.438366666438827185e-02,2.887905815638730500e-01,3.787744447557147426e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.037679391141071392e+03
2.802764349709050973e-01,2.887905815638730500e-01,2.201788364035018111e-02,2.887905815638730500e-01,3.730777934962090786e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.711036175992321660e+03
2.814522709092964203e-01,2.887905815638730500e-01,2.408126242537961259e-02,2.887905815638730500e-01,3.775622862522155787e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.121646164460942600e+03
2.820974668443515521e-01,2.887905815638730500e-01,2.174517877599537949e-02,2.887905815638730500e-01,3.725048187607779560e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.796549380604335965e+03
2.822040113109662851e-01,2.887905815638730500e-01,2.418452397712222979e-02,2.887905815638730500e-01,3.746808775478140119e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.125339031109217103e+03
2.817305606426111497e-01,2.887905815638730500e-01,2.320362040716922314e-02,2.887905815638730500e-01,3.705142372433210818e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.412073477069920045e+03
2.819817270675530896e-01,2.887905815638730500e-01,2.316459367224039945e-02,2.887905815638730500e-01,3.732752335743694250e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.394289951347203896e+03
2.815135407045280536e-01,2.887905815638730500e-01,2.360413523092934687e-02,2.887905815638730500e-01,3.755550558839543251e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.258979732165364112e+03
2.809358816527358083e-01,2.887905815638730500e-01,2.231917561201577846e-02,2.887905815638730500e-01,3.714824356547694745e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.641317351199533732e+03
2.823450541447467543e-01,2.887905815638730500e-01,2.408504930449592921e-02,2.887905815638730500e-01,3.743179397250417928e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.152870618621276662e+03
2.816102327686265117e-01,2.887905815638730500e-01,2.134984777463296013e-02,2.887905815638730500e-01,3.778183690611138651e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.862908011443440046e+03
2.805350316805371724e-01,2.887905815638730500e-01,2.283106655414941441e-02,2.887905815638730500e-01,3.727976394775053132e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.487384200696160406e+03
2.815512713521287069e-01,2.887905815638730500e-01,2.296250857375996962e-02,2.887905815638730500e-01,3.776341086289743826e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.404187077127040538e+03
2.813194795957079664e-01,2.887905815638730500e-01,2.522658914716771963e-02,2.887905815638730500e-01,3.728740269849858957e-02,2.887905815638730500e-01,1.000000000000000021e-02,8.904319180267691991e+03
2.810292055997027361e-01,2.887905815638730500e-01,2.282181412596290260e-02,2.887905815638730500e-01,3.715982777139850701e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.501991039474683930e+03
2.823030145074614805e-01,2.887905815638730500e-01,2.060811490651194566e-02,2.887905815638730500e-01,3.576606212598753415e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.030776562982834730e+04
2.807886607397100387e-01,2.887905815638730500e-01,2.209886874932742024e-02,2.887905815638730500e-01,3.700214047862637051e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.718730813875763488e+03
2.820581897410532335e-01,2.887905815638730500e-01,2.212885898549674449e-02,2.887905815638730500e-01,3.717018159761935336e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.693040091355640470e+03
2.818414873647951957e-01,2.887905815638730500e-01,2.346459460549020493e-02,2.887905815638730500e-01,3.720946116245167634e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.328919854565452624e+03
2.822575759833560460e-01,2.887905815638730500e-01,2.308221826428300677e-02,2.887905815638730500e-01,3.752063965339610258e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.396554611577625110e+03
2.817545172663608044e-01,2.887905815638730500e-01,2.396944721932485131e-02,2.887905815638730500e-01,3.731984994610777068e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.192123669444543339e+03
2.821313452986037862e-01,2.887905815638730500e-01,2.092688223314691232e-02,2.887905815638730500e-01,3.672871356309665575e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.010169140929279820e+04
2.807420453013762529e-01,2.887905815638730500e-01,2.415490012399140740e-02,2.887905815638730500e-01,3.741918224654301739e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.137322001722815912e+03
2.820964487546767652e-01,2.887905815638730500e-01,2.312539729388448859e-02,2.887905815638730500e-01,3.702027552571700297e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.435661499903357253e+03
2.823796083289301095e-01,2.887905815638730500e-01,2.356607731464869723e-02,2.887905815638730500e-01,3.736220550235224563e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.287844759530147712e+03
2.817838490758474701e-01,2.887905815638730500e-01,2.256088650740480095e-02,2.887905815638730500e-01,3.718554557889396095e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.570333663253368286e+03
2.815107813210712684e-01,2.887905815638730500e-01,2.412911933743127832e-02,2.887905815638730500e-01,3.769912465827290199e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.115732174573196971e+03
2.820414778006951062e-01,2.887905815638730500e-01,2.299394702959890041e-02,2.887905815638730500e-01,3.733903051767679948e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.437986689260102139e+03
2.809519958996554712e-01,2.887905815638730500e-01,2.267841264286369479e-02,2.887905815638730500e-01,3.693605284813200607e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.563606193506197087e+03
2.816700055028933947e-01,2.887905815638730500e-01,2.299366869379482203e-02,2.887905815638730500e-01,3.743557666177990684e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.428390637069922377e+03
2.818022767828535224e-01,2.887905815638730500e-01,2.268370340134079691e-02,2.887905815638730500e-01,3.726561954402476257e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.528645679305631347e+03
2.818240954922058839e-01,2.887905815638730500e-01,2.163859514848411048e-02,2.887905815638730500e-01,3.784551756813479828e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.769170130790791518e+03
2.808180820388886390e-01,2.887905815638730500e-01,2.282314614596331337e-02,2.887905815638730500e-01,3.712564612232358702e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.505101767339921935e+03
2.812777730287268629e-01,2.887905815638730500e-01,2.456589505798639078e-02,2.887905815638730500e-01,3.750526363058924451e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.031767213548340806e+03
2.802697072464306882e-01,2.887905815638730500e-01,2.259918582604249562e-02,2.887905815638730500e-01,3.663556741747014261e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.616336441140756506e+03
2.819685429263342202e-01,2.887905815638730500e-01,2.241695786675792362e-02,2.887905815638730500e-01,3.758499700678450545e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.570162577067085294e+03
2.818786377148860822e-01,2.887905815638730500e-01,2.259362742013774211e-02,2.887905815638730500e-01,3.693345367008073893e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.587038858647236339e+03
2.817912958201512219e-01,2.887905815638730500e-01,2.068959158610918572e-02,2.887905815638730500e-01,3.710999865265424830e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.013925564091398701e+04
2.810020014163600033e-01,2.887905815638730500e-01,2.196305989610737586e-02,2.887905815638730500e-01,3.742638641386582254e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.715015878655467532e+03
2.805632563255566203e-01,2.887905815638730500e-01,2.168973950973132267e-02,2.887905815638730500e-01,3.681349752468515008e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.857617862858800436e+03
2.816513617932637770e-01,2.887905815638730500e-01,2.000583914760887747e-02,2.887905815638730500e-01,3.690964101694840793e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.039100381002363974e+04
2.817539579136378314e-01,2.887905815638730500e-01,2.374952631106565584e-02,2.887905815638730500e-01,3.757697167149050971e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.220540486196139682e+03
2.806168605055655019e-01,2.887905815638730500e-01,2.318996334624097780e-02,2.887905815638730500e-01,3.728381954682218752e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.392074580470953151e+03
2.814059445001117488e-01,2.887905815638730500e-01,2.189425495421116336e-02,2.887905815638730500e-01,3.712053878919324007e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.765868486521900195e+03
2.808382281670356861e-01,2.887905815638730500e-01,2.149779523579104304e-02,2.887905815638730500e-01,3.768704817307930860e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.827099796091419194e+03
2.810146017558518561e-01,2.887905815638730500e-01,2.144936362692375850e-02,2.887905815638730500e-01,3.697787446568556735e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.913047960878959202e+03
2.805609523793359261e-01,2.887905815638730500e-01,2.281410090273118876e-02,2.887905815638730500e-01,3.746321929573058485e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.473554310809031449e+03
2.815072375623759449e-01,2.887905815638730500e-01,2.164735549668827391e-02,2.887905815638730500e-01,3.665794320471349454e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.886393097809977917e+03
2.803933494218434630e-01,2.887905815638730500e-01,2.222391504663388459e-02,2.887905815638730500e-01,3.773925277479669299e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.609185514461962157e+03
2.810384514617172425e-01,2.887905815638730500e-01,2.103068234746557214e-02,2.887905815638730500e-01,3.715722271645177655e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.002471397416178661e+04
2.799628718241045644e-01,2.887905815638730500e-01,2.111253656006307350e-02,2.887905815638730500e-01,3.709831263009141095e-02,2.887905815638730500e-01,1.000000000000000021e-02,1.000488774739865767e+04
2.816822891131069984e-01,2.887905815638730500e-01,2.147713202455113837e-02,2.887905815638730500e-01,3.651090795912914633e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.953031736926524900e+03
2.805941296606185298e-01,2.887905815638730500e-01,2.128699133273652747e-02,2.887905815638730500e-01,3.712502121211515294e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.947828246849927382e+03
2.820562809086157863e-01,2.887905815638730500e-01,2.193773005577377352e-02,2.887905815638730500e-01,3.779902644248922527e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.685498554558624164e+03
2.817804677404024960e-01,2.887905815638730500e-01,2.238274335286003294e-02,2.887905815638730500e-01,3.643075623700391813e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.697725400963056018e+03
2.819729831029916256e-01,2.887905815638730500e-01,2.148629330526789782e-02,2.887905815638730500e-01,3.635852582270079902e-02,2.887905815638730500e-01,1.000000000000000021e-02,9.966323007263525142e+03
